gu,X,Y
Gangnamgu,127.02576,37.504635
Gangnamgu,127.02579,37.50236
Gangnamgu,127.04204,37.51552
Gangnamgu,127.03797,37.485252
Gangnamgu,127.03281,37.487724
Gangnamgu,127.04236,37.48356
Gangnamgu,127.06812,37.501358
Gangnamgu,127.05256,37.475273
Gangnamgu,127.041435,37.486546
Gangnamgu,127.02272,37.523914
Gangnamgu,127.02272,37.523914
Gangnamgu,127.02272,37.523914
Gangnamgu,127.02278,37.52394
Gangnamgu,127.02278,37.52394
Gangnamgu,127.03065,37.5306
Gangnamgu,127.03065,37.5306
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.03577,37.52729
Gangnamgu,127.02362,37.52018
Gangnamgu,127.036064,37.524654
Gangnamgu,127.03593,37.5242
Gangnamgu,127.03872,37.5248
Gangnamgu,127.038956,37.526752
Gangnamgu,127.03908,37.52587
Gangnamgu,127.03427,37.525314
Gangnamgu,127.03753,37.52634
Gangnamgu,127.03809,37.527534
Gangnamgu,127.028534,37.511475
Gangnamgu,127.02853,37.51144
Gangnamgu,127.02853,37.51144
Gangnamgu,127.02853,37.51144
Gangnamgu,127.02853,37.51144
Gangnamgu,127.02853,37.51144
Gangnamgu,127.025955,37.51618
Gangnamgu,127.026695,37.515774
Gangnamgu,127.02501,37.516003
Gangnamgu,127.02421,37.514477
Gangnamgu,127.0236,37.515484
Gangnamgu,127.02569,37.507973
Gangnamgu,127.02595,37.507607
Gangnamgu,127.03715,37.517155
Gangnamgu,127.03721,37.517235
Gangnamgu,127.03721,37.517235
Gangnamgu,127.04062,37.51739
Gangnamgu,127.04334,37.52567
Gangnamgu,127.045204,37.525967
Gangnamgu,127.04442,37.525455
Gangnamgu,127.04929,37.525036
Gangnamgu,127.04929,37.52509
Gangnamgu,127.04929,37.52509
Gangnamgu,127.04929,37.52509
Gangnamgu,127.04929,37.52509
Gangnamgu,127.04929,37.52509
Gangnamgu,127.04929,37.52509
Gangnamgu,127.04643,37.51905
Gangnamgu,127.04643,37.51905
Gangnamgu,127.06261,37.514317
Gangnamgu,127.06261,37.514317
Gangnamgu,127.06261,37.514317
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.06267,37.51437
Gangnamgu,127.05208,37.515972
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
Gangnamgu,127.04746,37.51752
